# Any copyright is dedicated to the Public Domain.
# http://creativecommons.org/publicdomain/zero/1.0/
#
# For details on map-ibm866.txt see the Encoding Standard
# http://dvcs.w3.org/hg/encoding/raw-file/tip/Overview.html

0x80	0x0410	#CYRILLIC CAPITAL LETTER A
0xE7	0x0447	#CYRILLIC SMALL LETTER CHE
0xE8	0x0448	#CYRILLIC SMALL LETTER SHA
0xE9	0x0449	#CYRILLIC SMALL LETTER SHCHA
0xEA	0x044A	#CYRILLIC SMALL LETTER HARD SIGN
0xEB	0x044B	#CYRILLIC SMALL LETTER YERU
0xEC	0x044C	#CYRILLIC SMALL LETTER SOFT SIGN
0xED	0x044D	#CYRILLIC SMALL LETTER E
0xEE	0x044E	#CYRILLIC SMALL LETTER YU
0xEF	0x044F	#CYRILLIC SMALL LETTER YA
0xF0	0x0401	#CYRILLIC CAPITAL LETTER IO
0xF1	0x0451	#CYRILLIC SMALL LETTER IO
0xF2	0x0404	#CYRILLIC CAPITAL LETTER UKRAINIAN IE
0xF3	0x0454	#CYRILLIC SMALL LETTER UKRAINIAN IE
0xF4	0x0407	#CYRILLIC CAPITAL LETTER YI
0xF5	0x0457	#CYRILLIC SMALL LETTER YI
0xF6	0x040E	#CYRILLIC CAPITAL LETTER SHORT U
0xF7	0x045E	#CYRILLIC SMALL LETTER SHORT U
0xF8	0x00B0	#DEGREE SIGN
0xF9	0x2219	#BULLET OPERATOR
0xFA	0x00B7	#MIDDLE DOT
0xFB	0x221A	#SQUARE ROOT
0xFC	0x2116	#NUMERO SIGN
0xFD	0x00A4	#CURRENCY SIGN
0xFE	0x25A0	#BLACK SQUARE
0xFF	0x00A0	#NO-BREAK SPACE
